Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states
Greece,44,69,WE/EU,GRC,,42.0,47,,,37.0,52.0,53.0,41.0,,37.0,,,7,2.5,40,48,37,53,y,,,y,
Bahrain,43,70,MENA,BHR,,66.0,34,36.0,,,,,41.0,,37.0,,,5,5.96,33,53,34,66,,,,,y
Ghana,43,70,SSA,GHA,47.0,30.0,34,45.0,53.0,,,35.0,50.0,42.0,54.0,,,9,2.89,39,48,30,54,,,,,
Solomon Islands,42,72,AP,SLB,35.0,,47,,,,,,,44.0,,,,3,3.34,36,47,35,47,,,,,
Serbia,42,72,ECA,SCG,,39.0,47,57.0,,,,32.0,32.0,,37.0,52.0,,7,3.69,36,48,32,57,,,,,
Burkina Faso,42,72,SSA,BFA,47.0,,47,32.0,44.0,,,34.0,41.0,49.0,,,,7,2.47,38,46,32,49,,,,,
Turkey,41,75,ECA,TUR,,49.0,47,45.0,,46.0,33.0,39.0,41.0,36.0,37.0,,,9,1.8,38,44,33,49,y,y,,,
Kuwait,41,75,MENA,KWT,,43.0,34,40.0,,,,,50.0,,37.0,,,5,2.67,37,45,34,50,,,,,y
Tunisia,41,75,MENA,TUN,,37.0,47,28.0,,,,37.0,41.0,61.0,37.0,,,7,3.9,35,47,28,61,,,,,y
Bulgaria,41,75,WE/EU,BGR,,38.0,34,53.0,,37.0,42.0,38.0,42.0,,37.0,52.0,,9,2.2,38,45,34,53,,,,y,
Brazil,40,79,AME,BRA,,28.0,47,61.0,,25.0,,37.0,32.0,51.0,37.0,,,8,4.34,33,47,25,61,,y,y,,
China,40,79,AP,CHN,,53.0,47,36.0,,42.0,,37.0,32.0,,37.0,,39.0,8,2.39,37,44,32,53,,y,y,,
India,40,79,AP,IND,,54.0,34,45.0,,39.0,,34.0,41.0,,37.0,,34.0,8,2.47,36,44,34,54,,y,y,,
Belarus,40,79,ECA,BLR,,,47,28.0,,,,56.0,32.0,46.0,37.0,30.0,,7,3.93,33,46,28,56,,,,,
Jamaica,39,83,AME,JAM,,41.0,34,36.0,,,,47.0,41.0,,37.0,,,6,1.84,36,42,34,47,,,,,
Albania,39,83,ECA,ALB,,41.0,47,36.0,,,,30.0,41.0,,37.0,41.0,,7,1.99,36,42,30,47,,,,,
Bosnia and Herzegovina,39,83,ECA,BIH,,34.0,47,40.0,,,,37.0,,37.0,37.0,44.0,,7,1.7,37,42,34,47,,,,,
Lesotho,39,83,SSA,LSO,35.0,20.0,59,40.0,38.0,,,,,,,,,5,6.15,29,49,20,59,,,,,
Panama,38,87,AME,PAN,,43.0,47,36.0,,,,33.0,32.0,,37.0,,,6,2.29,34,42,32,47,,,,,
Mongolia,38,87,AP,MNG,47.0,38.0,47,36.0,,35.0,,38.0,32.0,34.0,37.0,,,9,1.7,35,41,32,47,,,,,
Zambia,38,87,SSA,ZMB,35.0,31.0,34,28.0,41.0,,,39.0,41.0,59.0,37.0,,,9,2.91,34,43,28,59,,,,,
Colombia,37,90,AME,COL,,32.0,47,45.0,,28.0,,37.0,41.0,34.0,37.0,,,8,2.27,34,41,28,47,,,,,
Indonesia,37,90,AP,IDN,,40.0,34,36.0,,39.0,,26.0,50.0,,37.0,,35.0,8,2.39,33,41,26,50,,y,,,
The FYR of Macedonia,37,90,ECA,MKD,,54.0,34,40.0,,,,42.0,,21.0,19.0,49.0,,7,4.97,29,45,19,54,,,,,
Morocco,37,90,MENA,MAR,,42.0,34,28.0,,,,37.0,41.0,39.0,37.0,,,7,1.74,34,40,28,42,,,,,y
Liberia,37,90,SSA,LBR,35.0,45.0,34,45.0,41.0,,,19.0,41.0,,,,,7,3.43,31,43,19,45,,,,,
Argentina,36,95,AME,ARG,,29.0,34,36.0,,37.0,,46.0,32.0,39.0,37.0,,,8,1.76,33,39,29,46,,y,,,
El Salvador,36,95,AME,SLV,,32.0,22,45.0,,,,34.0,41.0,40.0,37.0,,,7,2.76,31,40,22,45,,,,,
Maldives,36,95,AP,MDV,35.0,,47,,,,,,,27.0,,,,3,5.66,27,46,27,47,,,,,
Sri Lanka,36,95,AP,LKA,35.0,41.0,34,28.0,,,,38.0,41.0,,37.0,,,7,1.64,34,39,28,41,,,,,
Kosovo,36,95,ECA,LWI,35.0,,47,36.0,,,,,,27.0,,33.0,,5,3.17,31,41,27,47,,,,,
Benin,36,95,SSA,BEN,47.0,20.0,34,32.0,44.0,,,,,36.0,,,,6,3.8,29,42,20,47,,,,,
Peru,35,101,AME,PER,,39.0,34,45.0,,29.0,,30.0,34.0,,37.0,,,7,2.04,32,39,29,45,,,,,
Trinidad and Tobago,35,101,AME,TTO,,29.0,34,,,,,43.0,32.0,,37.0,,,5,2.48,31,39,29,43,,,,,
Philippines,35,101,AP,PHL,,29.0,34,36.0,,31.0,,31.0,41.0,36.0,37.0,,43.0,9,1.58,33,38,29,43,,,,,
Thailand,35,101,AP,THA,,37.0,22,40.0,,44.0,,37.0,32.0,24.0,37.0,,38.0,9,2.44,31,39,22,44,,,,,
Timor-Leste,35,101,AP,TLS,24.0,,34,,,,,,,45.0,,,,3,5.97,25,44,24,45,,,,,
Gabon,35,101,SSA,GAB,,36.0,34,,,,,,32.0,,37.0,,,4,0.97,33,36,32,37,,,,,
Niger,35,101,SSA,NER,35.0,,34,36.0,44.0,,,,24.0,,,,,5,3.25,29,40,24,44,,,,,
Guyana,34,108,AME,GUY,35.0,25.0,34,,,,,40.0,25.0,47.0,,,,6,3.57,29,40,25,47,,,,,
Algeria,34,108,MENA,DZA,,33.0,22,36.0,,,,,32.0,44.0,37.0,,,6,2.94,29,39,22,44,,,,,y
Egypt,34,108,MENA,EGY,,42.0,22,32.0,,,,37.0,32.0,,37.0,,,6,2.72,29,38,22,42,,,,,y
Côte d’Ivoire,34,108,SSA,CIV,35.0,32.0,47,28.0,32.0,,,30.0,32.0,,37.0,,,8,2.03,31,38,28,47,,,,,
Ethiopia,34,108,SSA,ETH,35.0,37.0,34,24.0,38.0,,,33.0,32.0,32.0,37.0,,,9,1.37,31,36,24,38,,,,,
Bolivia,33,113,AME,BOL,35.0,18.0,34,36.0,,,,25.0,32.0,44.0,37.0,,,8,2.85,28,37,18,44,,,,,
Vietnam,33,113,AP,VNM,35.0,34.0,34,28.0,,,,40.0,41.0,,19.0,,35.0,8,2.46,29,38,19,41,,,,,
Armenia,33,113,ECA,ARM,,45.0,34,28.0,,,,,32.0,17.0,,41.0,,6,4.01,26,40,17,45,,,,,
Pakistan,32,116,AP,PAK,35.0,29.0,34,20.0,,,,32.0,32.0,,37.0,,,7,2.12,28,35,20,37,,,,,
Mali,32,116,SSA,MLI,35.0,24.0,34,32.0,35.0,,,,32.0,,,,,6,1.75,29,35,24,35,,,,,
Tanzania,32,116,SSA,TZA,35.0,27.0,22,32.0,38.0,,,27.0,32.0,38.0,37.0,,,9,1.84,29,35,22,38,,,,,
Togo,32,116,SSA,TGO,24.0,,47,32.0,23.0,,,,32.0,,,,,5,4.21,25,39,23,47,,,,,
Dominican Republic,31,120,AME,DOM,,24.0,34,32.0,,,,27.0,32.0,,37.0,,,6,1.89,28,34,24,37,,,,,
Ecuador,31,120,AME,ECU,,33.0,22,32.0,,,,32.0,32.0,,37.0,,,6,1.96,28,35,22,37,,,,,
Malawi,31,120,SSA,MWI,24.0,27.0,34,36.0,38.0,,,32.0,32.0,36.0,19.0,,,9,2.11,28,35,19,38,,,,,
Honduras,30,123,AME,HND,35.0,26.0,22,36.0,,,,27.0,41.0,,19.0,,,7,3.05,25,35,19,41,,,,,
Mexico,30,123,AME,MEX,,29.0,34,28.0,,32.0,33.0,26.0,24.0,,37.0,,,8,1.56,28,33,24,37,y,y,,,
Paraguay,30,123,AME,PRY,,23.0,22,36.0,,,,,32.0,27.0,37.0,,,6,2.68,25,34,22,37,,,,,
Laos,30,123,AP,LAO,24.0,45.0,34,16.0,,,,,,,,,,4,6.19,20,40,16,45,,,,,
Azerbaijan,30,123,ECA,AZE,,46.0,47,24.0,,,,,24.0,9.0,37.0,25.0,,7,5.13,22,39,9,47,,,,,
Moldova,30,123,ECA,MDA,24.0,23.0,34,40.0,,,,26.0,32.0,23.0,37.0,33.0,,9,2.18,27,34,23,40,,,,,
Djibouti,30,123,SSA,DJI,24.0,,47,,20.0,,,,,,,,,3,8.23,17,44,20,47,,,,,y
Sierra Leone,30,123,SSA,SLE,35.0,19.0,34,40.0,35.0,,,23.0,32.0,,19.0,,,8,2.94,25,35,19,40,,,,,
Nepal,29,131,AP,NPL,35.0,26.0,34,24.0,,,,31.0,,21.0,,,,6,2.33,25,33,21,35,,,,,
Kazakhstan,29,131,ECA,KAZ,,45.0,34,20.0,,41.0,,32.0,24.0,16.0,19.0,28.0,,9,3.35,23,34,16,45,,,,,
Russia,29,131,ECA,RUS,,38.0,34,28.0,,41.0,,32.0,24.0,18.0,19.0,25.0,,9,2.73,24,33,18,41,,y,y,,
Ukraine,29,131,ECA,UKR,,27.0,34,36.0,,29.0,,32.0,24.0,23.0,19.0,33.0,,9,1.97,25,32,19,36,,,,,
Iran,29,131,MENA,IRN,,34.0,34,24.0,,,,35.0,24.0,33.0,19.0,,,7,2.47,25,33,19,35,,,,,
Guatemala,28,136,AME,GTM,,35.0,22,32.0,,,,27.0,32.0,,19.0,,,6,2.58,24,32,19,35,,,,,
