Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
76,Brazil,BRA,AME,38,7,5.289999961853027,25,62,29,47,,25.0,62.0,,25.0,,34.0,31.0,38.0,52.0,,
76,Burkina Faso,BFA,SSA,38,7,2.9700000286102295,28,47,33,43,47.0,29.0,32.0,45.0,,,28.0,41.0,,42.0,,
76,India,IND,AP,38,8,3.140000104904175,25,54,33,43,,54.0,45.0,,35.0,,25.0,41.0,38.0,32.0,33.0,
76,Thailand,THA,AP,38,8,2.119999885559082,26,43,35,41,,43.0,40.0,,38.0,,26.0,31.0,38.0,42.0,42.0,
76,Tunisia,TUN,MENA,38,6,2.1700000762939453,28,42,34,42,,42.0,28.0,,,,38.0,41.0,38.0,42.0,,
76,Zambia,ZMB,SSA,38,8,2.549999952316284,28,50,34,42,35.0,46.0,28.0,50.0,,,36.0,41.0,38.0,32.0,,
83,Benin,BEN,SSA,37,5,4.429999828338623,25,47,30,44,47.0,25.0,32.0,47.0,,,,,,32.0,,
83,China,CHN,AP,37,8,2.3399999141693115,28,49,33,41,,49.0,36.0,,39.0,,28.0,31.0,38.0,32.0,41.0,
83,Colombia,COL,AME,37,7,1.940000057220459,31,45,34,40,,36.0,45.0,,31.0,,33.0,41.0,38.0,32.0,,
83,Liberia,LBR,SSA,37,7,4.21999979019165,14,45,30,44,35.0,44.0,45.0,45.0,,,14.0,41.0,,32.0,,
83,Sri Lanka,LKA,AP,37,7,2.0899999141693115,28,44,34,40,35.0,44.0,28.0,,,,34.0,41.0,38.0,42.0,,
88,Albania,ALB,ECA,36,7,3.5799999237060547,18,49,30,42,,49.0,36.0,,,,18.0,41.0,38.0,32.0,,37.0
